country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn,birthdate
Albania,Europe,ALB,Rama,ALB_2013_1,149e63e7-aae0-11e4-b3bc-29f2fa19767e,2013-09-15,2024-09-25,Regular,Still in Office,M,1964,1964-07-04
Algeria,Africa,ALG,Benjedid,ALG_1979_1,823bf0a6-1e42-11e4-b4cd-db5882bf8def,1979-02-07,1992-01-11,Regular,Irregular,M,1929,1929-04-14
Algeria,Africa,ALG,Boudiaf,ALG_1992_1,823bf0a7-1e42-11e4-b4cd-db5882bf8def,1992-01-14,1992-06-29,Irregular,Irregular,M,1919,1919-06-23
Algeria,Africa,ALG,Kafi,ALG_1992_2,823bf0a8-1e42-11e4-b4cd-db5882bf8def,1992-07-02,1994-01-31,Regular,Regular,M,1928,NA
Algeria,Africa,ALG,Zeroual,ALG_1994_1,823bf0a9-1e42-11e4-b4cd-db5882bf8def,1994-01-31,1999-04-27,Regular,Regular,M,1941,NA
Algeria,Africa,ALG,Bouteflika,ALG_1999_1,823bf0aa-1e42-11e4-b4cd-db5882bf8def,1999-04-27,2019-04-02,Regular,Irregular,M,1937,1937-03-02
Algeria,Africa,ALG,Abdelkader Bensalah,ALG_2019_1,.,2019-04-09,2019-12-19,Regular,Regular,M,1941,1941-11-24
Algeria,Africa,ALG,Abdelmadjid Tebboune,ALG_2019_2,.,2019-12-19,2024-09-25,Regular,Still in Office,M,1945,1945-11-17
Angola,Africa,ANG,Dos Santos,ANG_1979_1,8233edb6-1e42-11e4-b4cd-db5882bf8def,1979-09-10,2017-09-25,Regular,Regular,M,1942,1942-08-28
Angola,Africa,ANG,Joao Lourenco,ANG_2017_1,.,2017-09-25,2024-09-25,Regular,Still in Office,M,1954,1954-03-05
Argentina,Americas,ARG,Menem,ARG_1989_1,82046e88-1e42-11e4-b4cd-db5882bf8def,1989-07-08,1999-12-10,Regular,Regular,M,1930,1930-07-02
Argentina,Americas,ARG,de la Rua,ARG_1999_1,82046e89-1e42-11e4-b4cd-db5882bf8def,1999-12-10,2001-12-21,Regular,Regular,M,1937,1937-09-15
Argentina,Americas,ARG,Ramon Puerta,ARG_2001_1,82046e8a-1e42-11e4-b4cd-db5882bf8def,2001-12-21,2001-12-23,Regular,Regular,M,1951,NA
Argentina,Americas,ARG,Adolfo Rodriguez Saa,ARG_2001_2,82049f5c-1e42-11e4-b4cd-db5882bf8def,2001-12-23,2002-01-01,Regular,Regular,M,1947,NA
Argentina,Americas,ARG,Eduardo Duhalde,ARG_2002_1,82049f5d-1e42-11e4-b4cd-db5882bf8def,2002-01-02,2003-05-25,Regular,Regular,M,1941,1941-10-05
Argentina,Americas,ARG,Nestor Kirchner,ARG_2003_1,82049f5e-1e42-11e4-b4cd-db5882bf8def,2003-05-25,2007-12-10,Regular,Regular,M,1950,NA
Argentina,Americas,ARG,Fernandez de Kirchner,ARG_2007_1,8250bb5e-1e42-11e4-b4cd-db5882bf8def,2007-12-10,2015-12-10,Regular,Regular,F,1953,1953-02-19
Argentina,Americas,ARG,Mauricio Macri,ARG_2015_1,43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58,2015-12-10,2019-12-10,Regular,Regular,M,1959,1959-02-08
Argentina,Americas,ARG,Alberto Fernandez,ARG_2019_1,.,2019-12-10,2023-12-10,Regular,Regular,M,1959,1959-04-02
Argentina,Americas,ARG,Javier Milei,ARG_2023_1,.,2023-12-10,2024-09-25,Regular,Still in Office,M,1970,NA
Armenia,Asia,ARM,Ter-Petrosyan,ARM_1991_1,82235551-1e42-11e4-b4cd-db5882bf8def,1991-10-16,1998-02-03,Regular,Regular,M,1945,NA
Armenia,Asia,ARM,Kocharian,ARM_1998_1,82235552-1e42-11e4-b4cd-db5882bf8def,1998-02-04,2008-04-09,Regular,Regular,M,1954,1954-08-31
Armenia,Asia,ARM,Sargsyan,ARM_2008_1,82530552-1e42-11e4-b4cd-db5882bf8def,2008-04-09,2018-04-09,Regular,Regular,M,1954,1954-06-30
Armenia,Asia,ARM,Armen Sarkissian,ARM_2018_1,.,2018-04-09,2022-02-01,Regular,Regular,M,1953,1953-06-23
Armenia,Asia,ARM,Alen Roberti Simonyan ,ARM_2022_1,.,2022-02-01,2022-03-13,Regular,Regular,M,1980,1980-01-05
Armenia,Asia,ARM,Vahagn Khachaturyan,ARM_2022_2,.,2022-03-13,2024-09-25,Regular,Still in Office,M,1959,1959-04-22
Australia,Oceania,AUL,Hawke,AUL_1983_1,824e4085-1e42-11e4-b4cd-db5882bf8def,1983-03-11,1991-12-19,Regular,Regular,M,1929,1929-12-09
Australia,Oceania,AUL,Keating,AUL_1991_1,824e4086-1e42-11e4-b4cd-db5882bf8def,1991-12-19,1996-03-11,Regular,Regular,M,1945,1945-01-18
Australia,Oceania,AUL,Howard,AUL_1996_1,824e715e-1e42-11e4-b4cd-db5882bf8def,1996-03-11,2007-12-03,Regular,Regular,M,1939,1939-07-26
Australia,Oceania,AUL,Rudd,AUL_2007_1,8255e1cb-1e42-11e4-b4cd-db5882bf8def,2007-12-03,2010-06-24,Regular,Regular,M,1957,1957-09-21
Australia,Oceania,AUL,Gillard,AUL_2010_1,8255e1cc-1e42-11e4-b4cd-db5882bf8def,2010-06-24,2013-06-27,Regular,Regular,F,1961,1961-09-29
Australia,Oceania,AUL,Rudd,AUL_2013_1,8255e1cb-1e42-11e4-b4cd-db5882bf8def,2013-06-27,2013-09-18,Regular,Regular,M,1957,1957-09-21
Australia,Oceania,AUL,Abbott,AUL_2013_2,2b3ec881-3481-11e4-8dba-bbcd9ed46413,2013-09-18,2015-09-15,Regular,Regular,M,1957,1957-11-04
Australia,Oceania,AUL,Malcolm Turnbull,AUL_2015_1,43fcd2be-de6a-11e5-ba44-bb6d7c1a9a58,2015-09-15,2018-08-24,Regular,Regular,M,1954,1954-10-24
Australia,Oceania,AUL,Scott Morrison,AUL_2018_1,.,2018-08-24,2022-05-22,Regular,Regular,M,1968,1968-05-13
Australia,Oceania,AUL,Anthony Norman Albanese,AUL_2022_1,.,2022-05-22,2024-09-25,Regular,Still in Office,M,1963,1963-03-02
Austria,Europe,AUS,Vranitzky,AUS_1986_1,8216ef36-1e42-11e4-b4cd-db5882bf8def,1986-06-16,1997-01-28,Regular,Regular,M,1937,1937-10-04
Austria,Europe,AUS,Klima,AUS_1997_1,8216ef37-1e42-11e4-b4cd-db5882bf8def,1997-01-28,2000-02-04,Regular,Regular,M,1947,1947-06-04
Austria,Europe,AUS,Schussel,AUS_2000_1,8216ef38-1e42-11e4-b4cd-db5882bf8def,2000-02-05,2007-01-11,Regular,Regular,M,1945,1945-06-07
Austria,Europe,AUS,Gusenbauer,AUS_2007_1,8251af7d-1e42-11e4-b4cd-db5882bf8def,2007-01-11,2008-12-02,Regular,Regular,M,1960,NA
Austria,Europe,AUS,Faymann,AUS_2008_1,8251af7e-1e42-11e4-b4cd-db5882bf8def,2008-12-02,2016-05-09,Regular,Regular,M,1960,1960-05-04
Austria,Europe,AUS,Reinhold Mitterlehner,AUS_2016_1,.,2016-05-09,2016-05-17,Regular,Regular,M,1955,1955-12-10
Austria,Europe,AUS,Kern,AUS_2016_2,.,2016-05-17,2017-12-18,Regular,Regular,M,1966,1966-01-04
Austria,Europe,AUS,Kurz,AUS_2017_1,.,2017-12-18,2019-05-28,Regular,Regular,M,1986,1986-08-27
Austria,Europe,AUS,Hartwig Löger,AUS_2019_1,.,2019-05-28,2019-06-03,Regular,Regular,M,1965,1965-07-15
Austria,Europe,AUS,Bierlein,AUS_2019_2,.,2019-06-03,2020-01-07,Regular,Regular,F,1949,1949-06-25
Austria,Europe,AUS,Kurz,AUS_2020_1,.,2020-01-07,2021-12-06,Regular,Regular,M,1986,1986-08-27
Austria,Europe,AUS,Alexander Schallenberg,AUS_2021_1,.,2021-10-11,2021-12-06,Regular,Regular,M,1969,1969-06-20
Austria,Europe,AUS,Nehammer,AUS_2021_2,.,2021-12-06,2024-09-25,Regular,Still in Office,M,1972,1972-10-18
Azerbaijan,Asia,AZE,Mutalibov,AZE_1991_1,82238627-1e42-11e4-b4cd-db5882bf8def,1991-09-08,1992-03-06,Regular,Regular,M,1938,1938-05-12
Azerbaijan,Asia,AZE,Mamedov,AZE_1992_1,8223b6f8-1e42-11e4-b4cd-db5882bf8def,1992-03-06,1992-05-14,Regular,Regular,M,1941,NA
Azerbaijan,Asia,AZE,Mutalibov,AZE_1992_2,82238627-1e42-11e4-b4cd-db5882bf8def,1992-05-14,1992-05-18,Regular,Irregular,M,1938,1938-05-12
Azerbaijan,Asia,AZE,Gambarov,AZE_1992_3,8223b6f9-1e42-11e4-b4cd-db5882bf8def,1992-05-19,1992-06-16,Irregular,Regular,M,1957,NA
Azerbaijan,Asia,AZE,Abulfaz Elchibey,AZE_1992_4,8223e7cc-1e42-11e4-b4cd-db5882bf8def,1992-06-16,1993-06-18,Irregular,Irregular,M,1938,1938-06-07
Azerbaijan,Asia,AZE,H. Aliyev,AZE_1993_1,8223e7cd-1e42-11e4-b4cd-db5882bf8def,1993-06-24,2003-08-04,Regular,Retired Due to Ill Health,M,1923,1923-05-10
Azerbaijan,Asia,AZE,Ilhma Aliyev,AZE_2003_1,8223e7ce-1e42-11e4-b4cd-db5882bf8def,2003-08-04,2024-09-25,Regular,Still in Office,M,1961,1961-12-24
Bahrain,Asia,BAH,Isa Ibn Al-Khalifah,BAH_1971_1,82423c1a-1e42-11e4-b4cd-db5882bf8def,1971-08-15,1999-03-06,Regular,Natural Death,M,1933,1933-07-03
Bahrain,Asia,BAH,Hamad Isa Ibn Al-Khalifah,BAH_1999_1,82423c1b-1e42-11e4-b4cd-db5882bf8def,1999-03-06,2024-09-25,Regular,Still in Office,M,1950,1950-01-28
Barbados,Americas,BAR,Sandiford,BAR_1987_1,81e39f6e-1e42-11e4-b4cd-db5882bf8def,1987-06-01,1994-09-07,Regular,Regular,M,1937,1937-03-24
Barbados,Americas,BAR,Arthur,BAR_1994_1,81e39f6f-1e42-11e4-b4cd-db5882bf8def,1994-09-07,2008-01-16,Regular,Regular,M,1949,NA
Barbados,Americas,BAR,Thompson,BAR_2008_1,825028d5-1e42-11e4-b4cd-db5882bf8def,2008-01-16,2010-10-23,Regular,Natural Death,M,1961,NA
Barbados,Americas,BAR,Stuart,BAR_2010_1,825028d6-1e42-11e4-b4cd-db5882bf8def,2010-10-23,2018-05-25,Regular,Regular,M,1951,1951-04-27
Barbados,Americas,BAR,Mottley,BAR_2018_1,.,2018-05-25,2024-09-25,Regular,Still in Office,F,1965,1965-10-01
Belgium,Europe,BEL,Martens,BEL_1981_2,820ab9fe-1e42-11e4-b4cd-db5882bf8def,1981-12-17,1992-03-07,Regular,Regular,M,1936,1936-04-19
Belgium,Europe,BEL,Dehaene,BEL_1992_1,820aeace-1e42-11e4-b4cd-db5882bf8def,1992-03-07,1999-07-12,Regular,Regular,M,1940,1940-08-07
Belgium,Europe,BEL,Verhofstadt,BEL_1999_1,820aeacf-1e42-11e4-b4cd-db5882bf8def,1999-07-12,2008-03-20,Regular,Regular,M,1953,NA
Belgium,Europe,BEL,Leterme,BEL_2008_1,82511d02-1e42-11e4-b4cd-db5882bf8def,2008-03-20,2008-12-30,Regular,Regular,M,1960,NA
Belgium,Europe,BEL,van Rompuy,BEL_2008_2,82511d03-1e42-11e4-b4cd-db5882bf8def,2008-12-30,2009-11-25,Regular,Regular,M,1947,NA
Belgium,Europe,BEL,Leterme,BEL_2009_1,82511d02-1e42-11e4-b4cd-db5882bf8def,2009-11-25,2011-12-06,Regular,Regular,M,1960,NA
Belgium,Europe,BEL,Di Rupo,BEL_2011_1,82511d04-1e42-11e4-b4cd-db5882bf8def,2011-12-06,2014-10-11,Regular,Regular,M,1951,1951-07-18
Belgium,Europe,BEL,Charles Michel,BEL_2014_1,149e3ccc-aae0-11e4-b3bc-29f2fa19767e,2014-10-11,2019-10-27,Regular,Regular,M,1975,1975-12-21
Belgium,Europe,BEL,Sophie Wilmes,BEL_2019_1,.,2019-10-27,2020-10-01,Regular,Regular,F,1975,1975-01-15
Belgium,Europe,BEL,Alexander De Croo,BEL_2020_1,.,2020-10-01,2024-09-25,Regular,Still in Office,M,1975,1975-11-03
Benin,Africa,BEN,Kerekou,BEN_1972_2,822c1b9b-1e42-11e4-b4cd-db5882bf8def,1972-10-27,1991-04-04,Irregular,Regular,M,1933,1933-09-02
Benin,Africa,BEN,"Soglo, N",BEN_1991_1,822c4c6e-1e42-11e4-b4cd-db5882bf8def,1991-04-04,1996-04-04,Regular,Regular,M,1934,1934-11-29
Benin,Africa,BEN,Kerekou,BEN_1996_1,822c1b9b-1e42-11e4-b4cd-db5882bf8def,1996-04-04,2006-04-06,Regular,Regular,M,1933,1933-09-02
Benin,Africa,BEN,Yayi Boni,BEN_2006_1,82533627-1e42-11e4-b4cd-db5882bf8def,2006-04-06,2016-04-06,Regular,Regular,M,1952,1952-07-01
Benin,Africa,BEN,Patrice Talon,BEN_2016_1,.,2016-04-06,2024-09-25,Regular,Still in Office,M,1985,1985-05-01
Burkina Faso,Africa,BFO,Campaore,BFO_1987_1,822e6595-1e42-11e4-b4cd-db5882bf8def,1987-10-15,2014-10-31,Irregular,Regular,M,1951,1951-02-03
Burkina Faso,Africa,BFO,Traore,BFO_2014_1,149f7556-aae0-11e4-b3bc-29f2fa19767e,2014-10-31,2014-11-01,Irregular,Irregular,M,1957,1957-09-28
Burkina Faso,Africa,BFO,Zida,BFO_2014_2,149f7557-aae0-11e4-b3bc-29f2fa19767e,2014-11-01,2014-11-18,Irregular,Regular,M,1957,1957-09-28
Burkina Faso,Africa,BFO,Kafando,BFO_2014_3,149f7558-aae0-11e4-b3bc-29f2fa19767e,2014-11-18,2015-12-29,Regular,Regular,M,1957,1957-09-28
Burkina Faso,Africa,BFO,Roch Marc Christian Kabore,BFO_2015_1,43fa715c-de6a-11e5-ba44-bb6d7c1a9a58,2015-12-29,2022-01-30,Regular,Irregular,M,1957,1957-04-25
Burkina Faso,Africa,BFO,Paul-Henri Sandaogo Damiba,BFO_2022_1,.,2022-01-30,2022-09-30,Irregular,Irregular,M,1981,1981-01-02
Burkina Faso,Africa,BFO,Ibrahim Traore,BFO_2022_2,.,2022-09-30,2024-09-25,Irregular,Still in Office,M,1988,1988-03-14
Bahamas,Americas,BHM,Pindling,BHM_1967_1,81dea9cc-1e42-11e4-b4cd-db5882bf8def,1967-01-16,1992-08-21,Regular,Regular,M,1930,NA
Bahamas,Americas,BHM,Ingraham,BHM_1992_1,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,1992-08-21,2002-05-03,Regular,Regular,M,1947,NA
Bahamas,Americas,BHM,Christie,BHM_2002_1,81deda9d-1e42-11e4-b4cd-db5882bf8def,2002-05-03,2005-05-04,Regular,Regular,M,1943,NA
Bahamas,Americas,BHM,Cynthia A. Pratt,BHM_2005_1,824ff7ff-1e42-11e4-b4cd-db5882bf8def,2005-05-04,2005-06-22,Regular,Regular,F,1943,NA
Bahamas,Americas,BHM,Christie,BHM_2005_2,81deda9d-1e42-11e4-b4cd-db5882bf8def,2005-06-22,2007-05-04,Regular,Regular,M,1943,1943-08-21
Bahamas,Americas,BHM,Ingraham,BHM_2007_1,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,2007-05-04,2012-05-08,Regular,Regular,M,1947,NA
Bahamas,Americas,BHM,Christie,BHM_2012_1,81deda9d-1e42-11e4-b4cd-db5882bf8def,2012-05-08,2017-05-11,Regular,Regular,M,1943,1943-08-21
Bahamas,Americas,BHM,Minnis,BHM_2017_1,.,2017-05-11,2021-09-17,Regular,Regular,M,1954,1954-05-11
Bahamas,Americas,BHM,Philip Brave Davis,BHM_2021_1,.,2021-09-17,2024-09-25,Regular,Still in Office,M,1951,1951-06-07
Bhutan,Asia,BHU,"Wangchuck, Jigme Singye",BHU_1972_1,8247f510-1e42-11e4-b4cd-db5882bf8def,1972-07-21,1998-07-20,Regular,Regular,M,1955,1955-11-11
Bhutan,Asia,BHU,Lyonpo Jigme Thinley,BHU_1998_1,8247f511-1e42-11e4-b4cd-db5882bf8def,1998-07-20,1999-07-09,Regular,Regular,M,1952,NA
Bhutan,Asia,BHU,Lyonpo Sangay Ngedup,BHU_1999_1,8247f512-1e42-11e4-b4cd-db5882bf8def,1999-07-09,2000-07-20,Regular,Regular,M,1953,NA
Bhutan,Asia,BHU,Lyonpo Yeshey Zimba,BHU_2000_1,8247f513-1e42-11e4-b4cd-db5882bf8def,2000-07-20,2001-08-08,Regular,Regular,M,1952,NA
Bhutan,Asia,BHU,Lyonpo Khandu Wangchuk,BHU_2001_1,824825e2-1e42-11e4-b4cd-db5882bf8def,2001-08-08,2002-08-14,Regular,Regular,M,1950,NA
Bhutan,Asia,BHU,Lyonpo Kinzang Dorji,BHU_2002_1,824825e3-1e42-11e4-b4cd-db5882bf8def,2002-08-14,2003-08-30,Regular,Regular,M,1951,NA
Bhutan,Asia,BHU,Lyonpo Jigme Thinley,BHU_2003_1,8247f511-1e42-11e4-b4cd-db5882bf8def,2003-08-30,2004-08-18,Regular,Regular,M,1952,NA
Bhutan,Asia,BHU,Lyonpo Yeshey Zimba,BHU_2004_1,8247f513-1e42-11e4-b4cd-db5882bf8def,2004-08-18,2005-09-05,Regular,Regular,M,1952,NA
Bhutan,Asia,BHU,Lyonpo Sangay Ngedup,BHU_2005_1,8247f512-1e42-11e4-b4cd-db5882bf8def,2005-09-05,2006-09-07,Regular,Regular,M,1953,NA
Bhutan,Asia,BHU,Lyonpo Khandu Wangchuk,BHU_2006_1,824825e2-1e42-11e4-b4cd-db5882bf8def,2006-09-07,2007-07-31,Regular,Regular,M,1950,NA
Bhutan,Asia,BHU,Lyonpo Kinzang Dorji,BHU_2007_1,824825e3-1e42-11e4-b4cd-db5882bf8def,2007-07-31,2008-04-09,Regular,Regular,M,1951,NA
Bhutan,Asia,BHU,Lyonpo Jigme Thinley,BHU_2008_1,8247f511-1e42-11e4-b4cd-db5882bf8def,2008-04-09,2013-07-30,Regular,Regular,M,1952,NA
Bhutan,Asia,BHU,Tobgay,BHU_2013_1,2b3ec87c-3481-11e4-8dba-bbcd9ed46413,2013-07-30,2018-08-09,Regular,Regular,M,1965,1965-09-19
Bhutan,Asia,BHU,Tshering Wangchuk,BHU_2018_1,.,2018-08-09,2018-11-07,Regular,Regular,M,1980,1980-02-21
Bhutan,Asia,BHU,Lotay Tshering,BHU_2018_2,.,2018-11-07,2024-09-25,Regular,Still in Office,M,1969,1969-05-10
Belarus,Europe,BLR,Shushkevich,BLR_1991_1,8222f3a9-1e42-11e4-b4cd-db5882bf8def,1991-09-18,1994-01-26,Regular,Regular,M,1934,1934-12-15
Belarus,Europe,BLR,Kuznyatsu,BLR_1994_1,8223247c-1e42-11e4-b4cd-db5882bf8def,1994-01-26,1994-01-28,Regular,Regular,M,1947,NA
Belarus,Europe,BLR,Hryb,BLR_1994_2,8223247d-1e42-11e4-b4cd-db5882bf8def,1994-01-28,1994-07-20,Regular,Regular,M,1938,NA
Belarus,Europe,BLR,Lukashenko,BLR_1994_3,82235550-1e42-11e4-b4cd-db5882bf8def,1994-07-20,2024-09-25,Regular,Still in Office,M,1954,1954-08-30
Belize,Americas,BLZ,Price,BLZ_1989_1,81e4f53c-1e42-11e4-b4cd-db5882bf8def,1989-11-07,1993-07-03,Regular,Regular,M,1919,1919-01-15
Belize,Americas,BLZ,Esquivel,BLZ_1993_1,81e4f53d-1e42-11e4-b4cd-db5882bf8def,1993-07-03,1998-08-28,Regular,Regular,M,1940,1940-05-02
Belize,Americas,BLZ,Musa,BLZ_1998_1,81e4f53e-1e42-11e4-b4cd-db5882bf8def,1998-08-28,2008-02-08,Regular,Regular,M,1944,1944-03-19
Belize,Americas,BLZ,D.Barrow,BLZ_2008_1,825059b0-1e42-11e4-b4cd-db5882bf8def,2008-02-08,2020-11-12,Regular,Regular,M,1951,1951-03-02
Belize,Americas,BLZ,Juan Briceno,BLZ_2020_1,.,2020-11-12,2024-09-25,Regular,Still in Office,M,1960,1960-07-17
Bangladesh,Asia,BNG,Ershad,BNG_1982_1,8248e93f-1e42-11e4-b4cd-db5882bf8def,1982-03-27,1990-12-06,Irregular,Irregular,M,1930,1930-02-01
Bangladesh,Asia,BNG,Ahmed,BNG_1990_1,8248e940-1e42-11e4-b4cd-db5882bf8def,1990-12-06,1991-03-20,Irregular,Regular,M,1930,1930-02-01
Bangladesh,Asia,BNG,Khaleda Zia,BNG_1991_1,3651f2c8-3bbd-11e5-afeb-eb6f07f9fec7,1991-03-20,1996-03-30,Regular,Regular,F,1945,NA
Bangladesh,Asia,BNG,Mohammad Habibur Rahman,BNG_1996_1,8248e942-1e42-11e4-b4cd-db5882bf8def,1996-03-30,1996-06-23,Regular,Regular,M,1930,NA
Bangladesh,Asia,BNG,Hasina Wazed,BNG_1996_2,365240e8-3bbd-11e5-afeb-eb6f07f9fec7,1996-06-23,2001-07-15,Regular,Regular,F,1947,1947-09-28
Bangladesh,Asia,BNG,Latifur Rahman,BNG_2001_1,82491a11-1e42-11e4-b4cd-db5882bf8def,2001-07-15,2001-10-10,Regular,Regular,M,1936,NA
Bangladesh,Asia,BNG,Khaleda Zia,BNG_2001_2,3651f2c8-3bbd-11e5-afeb-eb6f07f9fec7,2001-10-10,2006-10-29,Regular,Regular,F,1945,NA
Bangladesh,Asia,BNG,Iajuddin,BNG_2006_1,82551e7d-1e42-11e4-b4cd-db5882bf8def,2006-10-29,2007-01-12,Regular,Irregular,M,1931,NA
Bangladesh,Asia,BNG,Fakhruddin,BNG_2007_1,82554f4c-1e42-11e4-b4cd-db5882bf8def,2007-01-12,2009-01-06,Regular,Regular,M,1940,NA
Bangladesh,Asia,BNG,Hasina Wazed,BNG_2009_1,365240e8-3bbd-11e5-afeb-eb6f07f9fec7,2009-01-06,2024-09-25,Regular,Still in Office,F,1947,1947-09-28
Bolivia,Americas,BOL,Paz Zamora,BOL_1989_1,81fe53ee-1e42-11e4-b4cd-db5882bf8def,1989-08-06,1993-08-06,Regular,Regular,M,1939,1939-04-15
Bolivia,Americas,BOL,Gonzalo Sanchez de Lozada,BOL_1993_1,81fe53ef-1e42-11e4-b4cd-db5882bf8def,1993-08-06,1997-08-06,Regular,Regular,M,1930,NA
Bolivia,Americas,BOL,Banzer Suarez,BOL_1997_1,81fe230d-1e42-11e4-b4cd-db5882bf8def,1997-08-06,2001-08-07,Regular,Retired Due to Ill Health,M,1926,1926-07-10
Bolivia,Americas,BOL,Jorge Quiroga Ramirez,BOL_2001_1,81fe84be-1e42-11e4-b4cd-db5882bf8def,2001-08-07,2002-08-06,Regular,Regular,M,1960,NA
Bolivia,Americas,BOL,Gonzalo Sanchez de Lozada,BOL_2002_1,81fe53ef-1e42-11e4-b4cd-db5882bf8def,2002-08-08,2003-10-17,Regular,Regular,M,1930,NA
Bolivia,Americas,BOL,Carlos Mesa,BOL_2003_1,81fe84bf-1e42-11e4-b4cd-db5882bf8def,2003-10-17,2005-06-09,Regular,Regular,M,1953,1953-08-12
Bolivia,Americas,BOL,Enrique Rodríguez,BOL_2005_1,8250bb5a-1e42-11e4-b4cd-db5882bf8def,2005-06-09,2006-01-22,Regular,Regular,M,1956,NA
Bolivia,Americas,BOL,Juan Morales,BOL_2006_1,8250bb5b-1e42-11e4-b4cd-db5882bf8def,2006-01-22,2019-11-10,Regular,Irregular,M,1959,1959-10-26
Bolivia,Americas,BOL,Jeanine Anez,BOL_2019_1,.,2019-11-12,2020-11-08,Regular,Regular,F,1967,1967-08-13
Bolivia,Americas,BOL,Luis Arce,BOL_2020_1,.,2020-11-08,2024-09-25,Regular,Still in Office,M,1963,1963-09-28
Bosnia,Europe,BOS,Alija Izetbegovic,BOS_1990_1,35bae2e8-3bbd-11e5-afeb-eb6f07f9fec7,1990-12-20,1998-10-13,Regular,Regular,M,1925,1925-08-08
Bosnia,Europe,BOS,Radisic,BOS_1998_1,821be4e0-1e42-11e4-b4cd-db5882bf8def,1998-10-13,1999-06-15,Regular,Regular,M,1937,1937-08-15
Bosnia,Europe,BOS,Jelavic,BOS_1999_1,821c15b0-1e42-11e4-b4cd-db5882bf8def,1999-06-15,2000-02-14,Regular,Regular,M,1963,1963-08-21
Bosnia,Europe,BOS,Alija Izetbegovic,BOS_2000_1,35bae2e8-3bbd-11e5-afeb-eb6f07f9fec7,2000-02-14,2000-10-14,Regular,Retired Due to Ill Health,M,1925,1925-08-08
Bosnia,Europe,BOS,Radisic,BOS_2000_2,821be4e0-1e42-11e4-b4cd-db5882bf8def,2000-10-14,2001-06-14,Regular,Regular,M,1937,1937-08-15
Bosnia,Europe,BOS,Krizanovic,BOS_2001_1,821c15b1-1e42-11e4-b4cd-db5882bf8def,2001-06-14,2002-02-14,Regular,Regular,M,1944,NA
Bosnia,Europe,BOS,Belkic,BOS_2002_1,821c4684-1e42-11e4-b4cd-db5882bf8def,2002-02-14,2002-10-28,Regular,Regular,M,1946,NA
