obsid,leadid,ccode,idacr,country,continent,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn
BHM-2012,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Bahamas,Americas,Christie,2012-05-08,2017-05-11,Regular,Regular,Regular,M,1943
BHM_2017_1,NA,31,BHM,Bahamas,Americas,Minnis,2017-05-11,2021-09-17,Regular,Regular,Regular,M,1954
BHM_2021_1,NA,31,BHM,Bahamas,Americas,Philip Brave Davis,2021-09-17,2024-07-31,Regular,Still in Office,Still in Office,M,1951
CUB-1940,81df3c47-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Batista,1940-10-10,1944-10-10,Regular,Regular,Regular,M,1901
CUB-1944,81df0b73-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Grau San Martin,1944-10-10,1948-10-10,Regular,Regular,Regular,M,1882
CUB-1948,81df3c48-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Prio Socarres,1948-10-10,1952-03-10,Regular,Irregular,"Removed by Military, without Foreign Support",M,1903
CUB-1952,81df3c47-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Batista,1952-03-10,1959-01-01,Irregular,Irregular,"Removed by Rebels, without Foreign Support",M,1901
CUB-1959,81df6d18-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Castro,1959-01-02,2008-02-24,Irregular,Retired Due to Ill Health,Regular,M,1927
CUB-2008,824ff801-1e42-11e4-b4cd-db5882bf8def,40,CUB,Cuba,Americas,Raul Castro,2008-02-24,2019-10-10,Regular,Regular,Regular,M,1931
CUB_2019_1,NA,40,CUB,Cuba,Americas,Díaz-Canel,2019-10-10,2024-07-31,Regular,Still in Office,Still in Office,M,1960
HAI-1934,81dfffa0-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Vincent,1934-08-15,1941-05-15,Regular,Regular,Regular,M,1874
HAI-1941,81dfffa1-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Lescot,1941-05-15,1946-01-11,Regular,Irregular,"Removed by Military, without Foreign Support",M,1883
HAI-1946-1,81dfffa2-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Lavaud,1946-01-11,1946-08-16,Irregular,Regular,Regular,M,1903
HAI-1946-2,81e03072-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Estime,1946-08-16,1950-05-10,Regular,Irregular,"Removed by Military, without Foreign Support",M,1900
HAI-1950,81e03073-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Magloire,1950-05-10,1956-12-12,Regular,Irregular,"Removed by Military, without Foreign Support",M,1907
HAI-1956,81e03074-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Pierre-Louis,1956-12-12,1957-02-03,Regular,Irregular,"Removed by Military, without Foreign Support",M,1900
HAI-1957-1,81e03075-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Sylvain,1957-02-07,1957-04-02,Regular,Irregular,"Removed by Military, without Foreign Support",M,1909
HAI-1957-2,81e03076-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Cantave,1957-04-02,1957-04-06,Irregular,Regular,Regular,M,1910
HAI-1957-3,81e03077-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Executive council,1957-04-06,1957-05-20,Regular,Regular,Regular,M,-999
HAI-1957-4,81e03076-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Cantave,1957-05-20,1957-05-26,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1910
HAI-1957-5,81e06146-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Fignole,1957-05-26,1957-06-14,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1914
HAI-1957-6,81e06147-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Kebreau,1957-06-14,1957-10-15,Irregular,Regular,Regular,M,1909
HAI-1957-7,81e06148-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,"Duvalier, Francois",1957-10-15,1971-04-22,Regular,Natural Death,Regular,M,1907
HAI-1971,81e06149-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,"Duvalier, Jean-Claude",1971-04-22,1986-02-07,Regular,Irregular,"Removed by Military, without Foreign Support",M,1951
HAI-1986,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Namphy,1986-02-07,1988-02-07,Irregular,Regular,Regular,M,1932
HAI-1988-1,81e0921a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Manigat,1988-02-07,1988-06-20,Regular,Irregular,"Removed by Military, without Foreign Support",M,1930
HAI-1988-2,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Namphy,1988-06-20,1988-09-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1932
HAI-1988-3,81e0921b-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Avril,1988-09-17,1990-03-10,Irregular,Irregular,"Popular Protest, without Foreign Support",M,1938
HAI-1990-1,81e0921c-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Abraham,1990-03-10,1990-03-13,Regular,Regular,Regular,M,1940
HAI-1990-2,81e0921d-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Pascal-Troillet,1990-03-13,1991-02-07,Regular,Regular,Regular,F,1943
HAI-1991-1,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Aristide,1991-02-07,1991-09-30,Regular,Irregular,"Removed by Military, without Foreign Support",M,1953
HAI-1991-2,81e0c2ee-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Cedras,1991-09-30,1994-10-14,Irregular,Foreign,Removed through Threat of Foreign Force,M,1949
HAI-1994,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Aristide,1994-10-15,1996-02-07,Foreign Imposition,Regular,Regular,M,1953
HAI-1996,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Preval,1996-02-07,2001-02-07,Regular,Regular,Regular,M,1943
HAI-2001,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Aristide,2001-02-08,2004-02-29,Regular,Irregular,"Removed by Rebels, with Foreign Support",M,1953
HAI-2004,81e0c2f0-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Boniface Alexandre,2004-02-29,2006-05-14,Regular,Regular,Regular,M,1936
HAI-2006,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Preval,2006-05-14,2011-05-14,Regular,Regular,Regular,M,1943
HAI-2011,824ff802-1e42-11e4-b4cd-db5882bf8def,41,HAI,Haiti,Americas,Martelly,2011-05-14,2016-02-07,Regular,Regular,Regular,M,1961
HAI_2016_1,NA,41,HAI,Haiti,Americas,Evans Paul,2016-02-07,2016-02-14,Regular,Regular,Regular,M,1955
HAI_2016_2,NA,41,HAI,Haiti,Americas,Jocelerme Privert,2016-02-14,2017-02-07,Regular,Regular,Regular,M,1953
HAI_2017_1,NA,41,HAI,Haiti,Americas,Jovenel Moise,2017-02-07,2021-07-07,Regular,Assassination,Assassination,M,1968
HAI_2021_1,NA,41,HAI,Haiti,Americas,Claude Joseph,2021-07-07,2021-07-20,Irregular,Regular,Regular,M,NA
HAI_2021_2,NA,41,HAI,Haiti,Americas,Ariel Henry,2022-07-20,2024-07-31,Regular,Still in Office,Still in Office,M,1949
DOM-1930-2,81e1863f-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Rafel Trujillo,1930-08-16,1961-05-30,Regular,Irregular,"Removed by Military, without Foreign Support",M,1891
DOM-1961,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Balaguer,1961-05-30,1962-01-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1907
DOM-1962-1,81e1b71d-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Echavarria,1962-01-17,1962-01-19,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1925
DOM-1962-2,81e1e7f0-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Filiberto Bonnelly,1962-01-19,1963-02-27,Regular,Regular,Regular,M,1904
DOM-1963-1,81e1e7f1-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Bosch,1963-02-27,1963-09-25,Regular,Irregular,"Removed by Military, without Foreign Support",M,1909
DOM-1963-2,81e218c4-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,de los Santos,1963-09-26,1963-12-22,Irregular,Regular,Regular,M,1903
DOM-1963-3,81e218c5-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Cabral,1963-12-22,1965-04-25,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1923
DOM-1965-1,81e24998-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Molina Urena,1965-04-25,1965-04-27,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1921
DOM-1965-2,81e24999-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Bartolome Benoit,1965-04-27,1965-05-07,Irregular,Regular,Regular,M,1921
DOM-1965-3,81e27a6c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Berreras,1965-05-07,1965-08-30,Irregular,Regular,Regular,M,1920
DOM-1965-4,81e27a6d-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Godoy,1965-09-03,1966-07-01,Regular,Regular,Regular,M,1921
DOM-1966,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Balaguer,1966-07-01,1978-07-01,Regular,Regular,Regular,M,1907
DOM-1978,81e2ab40-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Guzman Fernandez,1978-07-01,1982-07-04,Regular,Suicide,Regular,M,1911
DOM-1982-1,81e2ab41-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Majluta Azar,1982-07-04,1982-08-16,Regular,Regular,Regular,M,1934
DOM-1982-2,81e2dc14-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Blanco,1982-08-16,1986-08-16,Regular,Regular,Regular,M,1926
DOM-1986,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Balaguer,1986-08-16,1996-08-16,Regular,Regular,Regular,M,1907
DOM-1996,81e2dc15-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Fernandez Reyna,1996-08-16,2000-08-16,Regular,Regular,Regular,M,1953
DOM-2000,81e30ce8-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Hipolito Mejia,2000-08-17,2004-08-16,Regular,Regular,Regular,M,1941
DOM-2004,81e2dc15-1e42-11e4-b4cd-db5882bf8def,42,DOM,Dominican Republic,Americas,Fernandez Reyna,2004-08-16,2012-08-16,Regular,Regular,Regular,M,1953
DOM-2012,2b37a44e-3481-11e4-8dba-bbcd9ed46413,42,DOM,Dominican Republic,Americas,Medina,2012-08-16,2020-08-16,Regular,Regular,Regular,M,1951
DOM_2020_1,NA,42,DOM,Dominican Republic,Americas,Luis Abinader,2020-08-16,2024-07-31,Regular,Still in Office,Still in Office,M,1967
JAM-1962,81e30ce9-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Bustamante,1962-08-06,1967-02-22,Regular,Regular,Regular,M,1884
JAM-1967-1,81e30cea-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Sangster,1967-02-22,1967-04-11,Regular,Natural Death,Regular,M,1911
JAM-1967-2,81e30ceb-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Shearer,1967-04-11,1972-03-02,Regular,Regular,Regular,M,1923
JAM-1972,81e30cec-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Manley,1972-03-02,1980-11-01,Regular,Regular,Regular,M,1924
JAM-1980,81e33dbc-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Seaga,1980-11-01,1989-02-10,Regular,Regular,Regular,M,1930
JAM-1989,81e30cec-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Manley,1989-02-10,1992-03-30,Regular,Retired Due to Ill Health,Regular,M,1924
JAM-1992,81e33dbd-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Patterson,1992-03-30,2006-03-30,Regular,Regular,Regular,M,1935
JAM-2006,2b37a44f-3481-11e4-8dba-bbcd9ed46413,51,JAM,Jamaica,Americas,Simpson-Miller,2006-03-30,2007-09-11,Regular,Regular,Regular,F,1945
JAM-2007,825028d2-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Golding,2007-09-11,2011-10-23,Regular,Regular,Regular,M,1947
JAM-2011,825028d3-1e42-11e4-b4cd-db5882bf8def,51,JAM,Jamaica,Americas,Holness,2011-10-23,2012-01-05,Regular,Regular,Regular,M,1972
JAM-2012,2b37a44f-3481-11e4-8dba-bbcd9ed46413,51,JAM,Jamaica,Americas,Simpson-Miller,2012-01-05,2016-03-03,Regular,Regular,Regular,F,1945
JAM_2016_1,NA,51,JAM,Jamaica,Americas,Andrew Holness,2016-03-03,2024-07-31,Regular,Still in Office,Still in Office,M,1972
TRI-1962,81e33dbe-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Williams,1962-08-31,1981-03-29,Regular,Natural Death,Regular,M,1911
TRI-1981,81e33dbf-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Chambers,1981-03-30,1986-12-18,Regular,Regular,Regular,M,1928
TRI-1986,81e33dc0-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Robinson,1986-12-18,1991-12-07,Regular,Regular,Regular,M,1926
TRI-1991,81e36e90-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Manning,1991-12-16,1995-11-09,Regular,Regular,Regular,M,1946
TRI-1995,81e36e91-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Panday,1995-11-09,2001-12-24,Regular,Regular,Regular,M,1933
TRI-2001,81e36e90-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Manning,2001-12-25,2010-05-26,Regular,Regular,Regular,M,1947
TRI-2010,825028d4-1e42-11e4-b4cd-db5882bf8def,52,TRI,Trinidad and Tobago,Americas,Kamla Persad-Bissessar,2010-05-26,2015-09-09,Regular,Regular,Regular,F,1952
TRI-2015,0edc7677-df39-11e5-ba44-bb6d7c1a9a58,52,TRI,Trinidad and Tobago,Americas,Keith Rowley,2015-09-09,2024-07-31,Regular,Still in Office,Still in Office,F,1949
BAR-1966,81e36e92-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Barrow,1966-11-18,1976-09-08,Regular,Regular,Regular,M,1920
BAR-1976,81e36e93-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Adams,1976-10-08,1985-03-11,Regular,Natural Death,Regular,M,1931
BAR-1985,81e36e94-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,St. John,1985-03-11,1986-05-29,Regular,Regular,Regular,M,1931
BAR-1986,81e36e92-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Barrow,1986-05-29,1987-06-01,Regular,Natural Death,Regular,M,1920
BAR-1987,81e39f6e-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Sandiford,1987-06-01,1994-09-07,Regular,Regular,Regular,M,1937
BAR-1994,81e39f6f-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Arthur,1994-09-07,2008-01-16,Regular,Regular,Regular,M,1949
BAR-2008,825028d5-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Thompson,2008-01-16,2010-10-23,Regular,Natural Death,Regular,M,1961
BAR-2010,825028d6-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barbados,Americas,Stuart,2010-10-23,2018-05-25,Regular,Regular,Regular,M,1951
BAR_2018_1,NA,53,BAR,Barbados,Americas,Mottley,2018-05-25,2024-07-31,Regular,Still in Office,Still in Office,F,1965
MEX-1940,81e462be-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Avila Camacho,1940-12-01,1946-12-01,Regular,Regular,Regular,M,1897
MEX-1946,81e462bf-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Aleman Valdes,1946-12-01,1952-12-01,Regular,Regular,Regular,M,1903
MEX-1952,81e49392-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Ruiz Cortines,1952-12-01,1958-12-01,Regular,Regular,Regular,M,1890
MEX-1958,81e49393-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Lopez Mateos,1958-12-01,1964-12-01,Regular,Regular,Regular,M,1910
MEX-1964,81e4c466-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Diaz Ordaz,1964-12-01,1970-12-01,Regular,Regular,Regular,M,1911
MEX-1970,81e4c467-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Echeverria Alvarez,1970-12-01,1976-12-01,Regular,Regular,Regular,M,1922
MEX-1976,81e4c468-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Lopez Portillo,1976-12-01,1982-12-01,Regular,Regular,Regular,M,1920
MEX-1982,81e4c469-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,de La Madrid,1982-12-01,1988-12-01,Regular,Regular,Regular,M,1934
MEX-1988,81e4c46a-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Salinas,1988-12-01,1994-11-30,Regular,Regular,Regular,M,1948
MEX-1994,81e4f53a-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Zedillo,1994-12-01,2000-11-30,Regular,Regular,Regular,M,1951
MEX-2000,81e4f53b-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Vicente Fox Quesada,2000-12-01,2006-11-30,Regular,Regular,Regular,M,1942
MEX-2006,825028d7-1e42-11e4-b4cd-db5882bf8def,70,MEX,Mexico,Americas,Calderon,2006-12-01,2012-12-01,Regular,Regular,Regular,M,1962
MEX-2012,2b37a450-3481-11e4-8dba-bbcd9ed46413,70,MEX,Mexico,Americas,Enrique Pena Nieto,2012-12-01,2018-11-30,Regular,Regular,Regular,M,1966
MEX_2012_2,NA,70,MEX,Mexico,Americas,Manuel Lopez Obrador,2018-11-30,2024-07-31,Regular,Still in Office,Still in Office,M,1953
BLZ-1961,81e4f53c-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,Price,1961-04-07,1984-12-17,Regular,Regular,Regular,M,1919
BLZ-1984,81e4f53d-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,Esquivel,1984-12-17,1989-11-07,Regular,Regular,Regular,M,1940
BLZ-1989,81e4f53c-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,Price,1989-11-07,1993-07-03,Regular,Regular,Regular,M,1919
BLZ-1993,81e4f53d-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,Esquivel,1993-07-03,1998-08-28,Regular,Regular,Regular,M,1940
BLZ-1998,81e4f53e-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,Musa,1998-08-28,2008-02-08,Regular,Regular,Regular,M,1944
BLZ-2008,825059b0-1e42-11e4-b4cd-db5882bf8def,80,BLZ,Belize,Americas,D.Barrow,2008-02-08,2020-11-12,Regular,Regular,Regular,M,1951
BLZ_2020_1,NA,80,BLZ,Belize,Americas,Juan Briceno,2020-11-12,2024-07-31,Regular,Still in Office,Still in Office,M,1960
GUA-1931-2,81e587c0-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Ubico Castaneda,1931-02-15,1944-07-01,Regular,Irregular,"Popular Protest, without Foreign Support",M,1878
GUA-1944-1,81e587c1-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Ponce Valdez,1944-07-01,1944-10-21,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1889
GUA-1944-2,81e587c2-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Arbenz Guzman,1944-10-21,1945-03-15,Irregular,Regular,Regular,M,1913
GUA-1945,81e587c3-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Arevalo,1945-03-15,1951-03-01,Regular,Regular,Regular,M,1904
GUA-1951,81e587c2-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Arbenz Guzman,1951-03-01,1954-06-27,Regular,Irregular,"Removed by Military, with Foreign Support",M,1913
GUA-1954-1,81e587c4-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Diaz,1954-06-27,1954-06-29,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1910
GUA-1954-2,81e5b894-1e42-11e4-b4cd-db5882bf8def,90,GUA,Guatemala,Americas,Monzon,1954-06-29,1954-07-08,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1912
