idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn,birthdate
BAR,Mottley,BAR_2018_1,.,2018-05-25,2024-06-30,Regular,Still in Office,F,1965,1965-10-01
BEL,Martens,BEL_1981_2,820ab9fe-1e42-11e4-b4cd-db5882bf8def,1981-12-17,1992-03-07,Regular,Regular,M,1936,1936-04-19
BEL,Dehaene,BEL_1992_1,820aeace-1e42-11e4-b4cd-db5882bf8def,1992-03-07,1999-07-12,Regular,Regular,M,1940,1940-08-07
BEL,Verhofstadt,BEL_1999_1,820aeacf-1e42-11e4-b4cd-db5882bf8def,1999-07-12,2008-03-20,Regular,Regular,M,1953,NA
BEL,Leterme,BEL_2008_1,82511d02-1e42-11e4-b4cd-db5882bf8def,2008-03-20,2008-12-30,Regular,Regular,M,1960,NA
BEL,van Rompuy,BEL_2008_2,82511d03-1e42-11e4-b4cd-db5882bf8def,2008-12-30,2009-11-25,Regular,Regular,M,1947,NA
BEL,Leterme,BEL_2009_1,82511d02-1e42-11e4-b4cd-db5882bf8def,2009-11-25,2011-12-06,Regular,Regular,M,1960,NA
BEL,Di Rupo,BEL_2011_1,82511d04-1e42-11e4-b4cd-db5882bf8def,2011-12-06,2014-10-11,Regular,Regular,M,1951,1951-07-18
BEL,Charles Michel,BEL_2014_1,149e3ccc-aae0-11e4-b3bc-29f2fa19767e,2014-10-11,2019-10-27,Regular,Regular,M,1975,1975-12-21
BEL,Sophie Wilmes,BEL_2019_1,.,2019-10-27,2020-10-01,Regular,Regular,F,1975,1975-01-15
BEL,Alexander De Croo,BEL_2020_1,.,2020-10-01,2024-06-30,Regular,Still in Office,M,1975,1975-11-03
BEN,Kerekou,BEN_1972_2,822c1b9b-1e42-11e4-b4cd-db5882bf8def,1972-10-27,1991-04-04,Irregular,Regular,M,1933,1933-09-02
BEN,"Soglo, N",BEN_1991_1,822c4c6e-1e42-11e4-b4cd-db5882bf8def,1991-04-04,1996-04-04,Regular,Regular,M,1934,1934-11-29
BEN,Kerekou,BEN_1996_1,822c1b9b-1e42-11e4-b4cd-db5882bf8def,1996-04-04,2006-04-06,Regular,Regular,M,1933,1933-09-02
BEN,Yayi Boni,BEN_2006_1,82533627-1e42-11e4-b4cd-db5882bf8def,2006-04-06,2016-04-06,Regular,Regular,M,1952,1952-07-01
BEN,Patrice Talon,BEN_2016_1,.,2016-04-06,2024-06-30,Regular,Still in Office,M,1985,1985-05-01
BFO,Campaore,BFO_1987_1,822e6595-1e42-11e4-b4cd-db5882bf8def,1987-10-15,2014-10-31,Irregular,Regular,M,1951,1951-02-03
BFO,Kafando,BFO_2014_3,149f7558-aae0-11e4-b3bc-29f2fa19767e,2014-11-18,2015-12-29,Regular,Regular,M,1957,1957-09-28
BFO,Roch Marc Christian Kabore,BFO_2015_1,43fa715c-de6a-11e5-ba44-bb6d7c1a9a58,2015-12-29,2022-01-30,Regular,Irregular,M,1957,1957-04-25
BFO,Ibrahim Traore,BFO_2022_2,.,2022-09-30,2024-06-30,Irregular,Still in Office,M,1988,1988-03-14
BHM,Pindling,BHM_1967_1,81dea9cc-1e42-11e4-b4cd-db5882bf8def,1967-01-16,1992-08-21,Regular,Regular,M,1930,NA
BHM,Ingraham,BHM_1992_1,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,1992-08-21,2002-05-03,Regular,Regular,M,1947,NA
BHM,Christie,BHM_2002_1,81deda9d-1e42-11e4-b4cd-db5882bf8def,2002-05-03,2005-05-04,Regular,Regular,M,1943,NA
BHM,Christie,BHM_2005_2,81deda9d-1e42-11e4-b4cd-db5882bf8def,2005-06-22,2007-05-04,Regular,Regular,M,1943,1943-08-21
BHM,Ingraham,BHM_2007_1,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,2007-05-04,2012-05-08,Regular,Regular,M,1947,NA
BHM,Christie,BHM_2012_1,81deda9d-1e42-11e4-b4cd-db5882bf8def,2012-05-08,2017-05-11,Regular,Regular,M,1943,1943-08-21
BHM,Minnis,BHM_2017_1,.,2017-05-11,2021-09-17,Regular,Regular,M,1954,1954-05-11
BHM,Philip Brave Davis,BHM_2021_1,.,2021-09-17,2024-06-30,Regular,Still in Office,M,1951,1951-06-07
BHU,"Wangchuck, Jigme Singye",BHU_1972_1,8247f510-1e42-11e4-b4cd-db5882bf8def,1972-07-21,1998-07-20,Regular,Regular,M,1955,1955-11-11
BHU,Lyonpo Jigme Thinley,BHU_1998_1,8247f511-1e42-11e4-b4cd-db5882bf8def,1998-07-20,1999-07-09,Regular,Regular,M,1952,NA
BHU,Lyonpo Sangay Ngedup,BHU_1999_1,8247f512-1e42-11e4-b4cd-db5882bf8def,1999-07-09,2000-07-20,Regular,Regular,M,1953,NA
BHU,Lyonpo Yeshey Zimba,BHU_2000_1,8247f513-1e42-11e4-b4cd-db5882bf8def,2000-07-20,2001-08-08,Regular,Regular,M,1952,NA
BHU,Lyonpo Khandu Wangchuk,BHU_2001_1,824825e2-1e42-11e4-b4cd-db5882bf8def,2001-08-08,2002-08-14,Regular,Regular,M,1950,NA
BHU,Lyonpo Kinzang Dorji,BHU_2002_1,824825e3-1e42-11e4-b4cd-db5882bf8def,2002-08-14,2003-08-30,Regular,Regular,M,1951,NA
BHU,Lyonpo Jigme Thinley,BHU_2003_1,8247f511-1e42-11e4-b4cd-db5882bf8def,2003-08-30,2004-08-18,Regular,Regular,M,1952,NA
BHU,Lyonpo Yeshey Zimba,BHU_2004_1,8247f513-1e42-11e4-b4cd-db5882bf8def,2004-08-18,2005-09-05,Regular,Regular,M,1952,NA
BHU,Lyonpo Sangay Ngedup,BHU_2005_1,8247f512-1e42-11e4-b4cd-db5882bf8def,2005-09-05,2006-09-07,Regular,Regular,M,1953,NA
BHU,Lyonpo Khandu Wangchuk,BHU_2006_1,824825e2-1e42-11e4-b4cd-db5882bf8def,2006-09-07,2007-07-31,Regular,Regular,M,1950,NA
BHU,Lyonpo Jigme Thinley,BHU_2008_1,8247f511-1e42-11e4-b4cd-db5882bf8def,2008-04-09,2013-07-30,Regular,Regular,M,1952,NA
BHU,Tobgay,BHU_2013_1,2b3ec87c-3481-11e4-8dba-bbcd9ed46413,2013-07-30,2018-08-09,Regular,Regular,M,1965,1965-09-19
BHU,Lotay Tshering,BHU_2018_2,.,2018-11-07,2024-06-30,Regular,Still in Office,M,1969,1969-05-10
BLR,Shushkevich,BLR_1991_1,8222f3a9-1e42-11e4-b4cd-db5882bf8def,1991-09-18,1994-01-26,Regular,Regular,M,1934,1934-12-15
BLR,Lukashenko,BLR_1994_3,82235550-1e42-11e4-b4cd-db5882bf8def,1994-07-20,2024-06-30,Regular,Still in Office,M,1954,1954-08-30
BLZ,Price,BLZ_1989_1,81e4f53c-1e42-11e4-b4cd-db5882bf8def,1989-11-07,1993-07-03,Regular,Regular,M,1919,1919-01-15
BLZ,Esquivel,BLZ_1993_1,81e4f53d-1e42-11e4-b4cd-db5882bf8def,1993-07-03,1998-08-28,Regular,Regular,M,1940,1940-05-02
BLZ,Musa,BLZ_1998_1,81e4f53e-1e42-11e4-b4cd-db5882bf8def,1998-08-28,2008-02-08,Regular,Regular,M,1944,1944-03-19
BLZ,D.Barrow,BLZ_2008_1,825059b0-1e42-11e4-b4cd-db5882bf8def,2008-02-08,2020-11-12,Regular,Regular,M,1951,1951-03-02
BLZ,Juan Briceno,BLZ_2020_1,.,2020-11-12,2024-06-30,Regular,Still in Office,M,1960,1960-07-17
BNG,Ershad,BNG_1982_1,8248e93f-1e42-11e4-b4cd-db5882bf8def,1982-03-27,1990-12-06,Irregular,Irregular,M,1930,1930-02-01
BNG,Khaleda Zia,BNG_1991_1,3651f2c8-3bbd-11e5-afeb-eb6f07f9fec7,1991-03-20,1996-03-30,Regular,Regular,F,1945,NA
BNG,Hasina Wazed,BNG_1996_2,365240e8-3bbd-11e5-afeb-eb6f07f9fec7,1996-06-23,2001-07-15,Regular,Regular,F,1947,1947-09-28
BNG,Khaleda Zia,BNG_2001_2,3651f2c8-3bbd-11e5-afeb-eb6f07f9fec7,2001-10-10,2006-10-29,Regular,Regular,F,1945,NA
BNG,Fakhruddin,BNG_2007_1,82554f4c-1e42-11e4-b4cd-db5882bf8def,2007-01-12,2009-01-06,Regular,Regular,M,1940,NA
BNG,Hasina Wazed,BNG_2009_1,365240e8-3bbd-11e5-afeb-eb6f07f9fec7,2009-01-06,2024-06-30,Regular,Still in Office,F,1947,1947-09-28
BOL,Paz Zamora,BOL_1989_1,81fe53ee-1e42-11e4-b4cd-db5882bf8def,1989-08-06,1993-08-06,Regular,Regular,M,1939,1939-04-15
BOL,Gonzalo Sanchez de Lozada,BOL_1993_1,81fe53ef-1e42-11e4-b4cd-db5882bf8def,1993-08-06,1997-08-06,Regular,Regular,M,1930,NA
BOL,Banzer Suarez,BOL_1997_1,81fe230d-1e42-11e4-b4cd-db5882bf8def,1997-08-06,2001-08-07,Regular,Retired Due to Ill Health,M,1926,1926-07-10
BOL,Jorge Quiroga Ramirez,BOL_2001_1,81fe84be-1e42-11e4-b4cd-db5882bf8def,2001-08-07,2002-08-06,Regular,Regular,M,1960,NA
BOL,Gonzalo Sanchez de Lozada,BOL_2002_1,81fe53ef-1e42-11e4-b4cd-db5882bf8def,2002-08-08,2003-10-17,Regular,Regular,M,1930,NA
BOL,Carlos Mesa,BOL_2003_1,81fe84bf-1e42-11e4-b4cd-db5882bf8def,2003-10-17,2005-06-09,Regular,Regular,M,1953,1953-08-12
BOL,Juan Morales,BOL_2006_1,8250bb5b-1e42-11e4-b4cd-db5882bf8def,2006-01-22,2019-11-10,Regular,Irregular,M,1959,1959-10-26
BOL,Jeanine Anez,BOL_2019_1,.,2019-11-12,2020-11-08,Regular,Regular,F,1967,1967-08-13
BOL,Luis Arce,BOL_2020_1,.,2020-11-08,2024-06-30,Regular,Still in Office,M,1963,1963-09-28
BOS,Alija Izetbegovic,BOS_1990_1,35bae2e8-3bbd-11e5-afeb-eb6f07f9fec7,1990-12-20,1998-10-13,Regular,Regular,M,1925,1925-08-08
BOS,Zeljko Komsic,BOS_2011_1,82524203-1e42-11e4-b4cd-db5882bf8def,2011-07-10,2014-03-10,Regular,Regular,M,1964,1964-01-20
BOS,Zeljko Komsic,BOS_2023_1,.,2023-07-16,2024-06-30,Regular,Still in Office,M,1964,1964-01-20
BOT,Masire,BOT_1980_1,823a9ad5-1e42-11e4-b4cd-db5882bf8def,1980-07-13,1998-03-31,Regular,Regular,M,1925,1925-07-23
BOT,Mogae,BOT_1998_1,823acba4-1e42-11e4-b4cd-db5882bf8def,1998-03-31,2008-04-01,Regular,Regular,M,1939,NA
BOT,Ian Khama,BOT_2008_1,82542a54-1e42-11e4-b4cd-db5882bf8def,2008-04-01,2018-03-31,Regular,Regular,M,1953,1953-02-27
BOT,Mokgweetsi Masisi,BOT_2018_1,.,2018-03-31,2024-06-30,Regular,Still in Office,M,1962,1962-07-21
BRA,Sarney,BRA_1985_1,81fccd40-1e42-11e4-b4cd-db5882bf8def,1985-03-21,1990-03-15,Regular,Regular,M,1930,1930-04-30
BRA,Mello,BRA_1990_1,81fccd41-1e42-11e4-b4cd-db5882bf8def,1990-03-15,1992-10-02,Regular,Regular,M,1949,1949-08-12
BRA,"Franco, Itamar",BRA_1992_1,81fccd42-1e42-11e4-b4cd-db5882bf8def,1992-10-02,1994-12-31,Regular,Regular,M,1930,1930-06-28
BRA,Cardoso,BRA_1995_1,81fcfe14-1e42-11e4-b4cd-db5882bf8def,1995-01-01,2003-01-01,Regular,Regular,M,1931,1931-06-18
BRA,Lula da Silva,BRA_2003_1,81fcfe15-1e42-11e4-b4cd-db5882bf8def,2003-01-01,2011-01-01,Regular,Regular,M,1945,NA
BRA,Rousseff,BRA_2011_1,8250bb59-1e42-11e4-b4cd-db5882bf8def,2011-01-01,2016-05-12,Regular,Regular,F,1947,1947-12-14
BRA,Michel Temer,BRA_2016_1,.,2016-05-12,2018-12-31,Regular,Regular,M,1940,1940-09-23
BRA,Jair Bolsonaro,BRA_2018_1,.,2018-12-31,2022-12-31,Regular,Regular,M,1955,1955-03-21
BRA,Lula da Silva,BRA_2022_1,.,2022-12-31,2024-06-30,Regular,Still in Office,M,1945,1931-06-18
BRU,Hassanal Bolkiah,BRU_1967_1,824c8911-1e42-11e4-b4cd-db5882bf8def,1967-10-04,2024-06-30,Regular,Still in Office,M,1946,1946-07-15
BUI,Buyoya,BUI_1987_1,8232c8b7-1e42-11e4-b4cd-db5882bf8def,1987-09-03,1993-07-10,Irregular,Regular,M,1949,1949-11-24
BUI,Ntibantunganya,BUI_1994_2,8232f98a-1e42-11e4-b4cd-db5882bf8def,1994-04-06,1996-07-25,Regular,Irregular,M,1956,1956-05-08
BUI,Buyoya,BUI_1996_1,8232c8b7-1e42-11e4-b4cd-db5882bf8def,1996-07-25,2003-04-30,Irregular,Regular,M,1949,1949-11-24
BUI,Ndayizeye,BUI_2003_1,8232f98b-1e42-11e4-b4cd-db5882bf8def,2003-04-30,2005-08-26,Regular,Regular,M,1953,NA
BUI,Nkurunziza,BUI_2005_1,8253c8a7-1e42-11e4-b4cd-db5882bf8def,2005-08-26,2020-06-08,Regular,Natural Death,M,1963,1963-12-18
BUI,Evariste Ndayishiyme,BUI_2020_1,.,2020-06-18,2024-06-30,Regular,Still in Office,M,1968,1968-06-18
BUL,Popov,BUL_1990_2,821f2306-1e42-11e4-b4cd-db5882bf8def,1990-12-07,1991-11-08,Regular,Regular,M,1927,NA
BUL,Filip Dimitrov,BUL_1991_1,43f81000-de6a-11e5-ba44-bb6d7c1a9a58,1991-11-08,1992-12-30,Regular,Regular,M,1955,1955-03-31
BUL,Berov,BUL_1992_1,821f2308-1e42-11e4-b4cd-db5882bf8def,1992-12-30,1994-10-17,Regular,Regular,M,1925,NA
BUL,Videnov,BUL_1995_1,821f53d9-1e42-11e4-b4cd-db5882bf8def,1995-01-25,1997-02-13,Regular,Regular,M,1959,NA
BUL,Kostov,BUL_1997_2,821f53db-1e42-11e4-b4cd-db5882bf8def,1997-05-21,2001-07-21,Regular,Regular,M,1949,NA
BUL,Saksgoburggotski,BUL_2001_1,821f53dc-1e42-11e4-b4cd-db5882bf8def,2001-07-24,2005-08-16,Regular,Regular,M,1937,NA
BUL,Stanishev,BUL_2005_1,825272da-1e42-11e4-b4cd-db5882bf8def,2005-08-16,2009-07-27,Regular,Regular,M,1966,NA
BUL,Boyko Borisov,BUL_2009_1,8252a3aa-1e42-11e4-b4cd-db5882bf8def,2009-07-27,2013-03-13,Regular,Regular,M,1959,1959-06-13
BUL,Oresharski,BUL_2013_2,2b3a05b1-3481-11e4-8dba-bbcd9ed46413,2013-05-29,2014-08-05,Regular,Regular,M,1960,1960-02-21
BUL,Boyko Borisov,BUL_2014_2,8252a3aa-1e42-11e4-b4cd-db5882bf8def,2014-11-07,2017-01-27,Regular,Regular,M,1959,1959-06-13
BUL,Boyko Borisov,BUL_2017_2,.,2017-05-04,2021-05-12,Regular,Regular,M,1959,1959-06-13
BUL,Galab Donev,BUL_2022_1,.,2022-08-02,2023-06-06,Regular,Regular,M,1967,1967-02-28
BUL,Nikolai Denkov,BUL_2023_1,.,2023-06-06,2024-06-30,Regular,Still in Office,M,1962,1962-09-03
CAM,Hun Sen,CAM_1985_1,824b640b-1e42-11e4-b4cd-db5882bf8def,1985-01-14,1993-09-21,Regular,Regular,M,1952,1952-08-05
CAM,Ranariddh,CAM_1993_1,197a8688-3bbd-11e5-afeb-eb6f07f9fec7,1993-09-21,1997-07-06,Regular,Irregular,M,1944,NA
CAM,Hun Sen,CAM_1997_1,824b640b-1e42-11e4-b4cd-db5882bf8def,1997-07-06,2023-08-22,Irregular,Regular,M,1952,1952-08-05
CAM,Hun Manet,CAM_2023_1,.,2023-08-22,2024-06-30,Irregular,Still in Office,M,1977,1977-10-20
CAN,Mulroney,CAN_1984_2,81dea9c8-1e42-11e4-b4cd-db5882bf8def,1984-09-17,1993-06-25,Regular,Regular,M,1939,1939-03-20
CAN,Chretien,CAN_1993_2,81dea9ca-1e42-11e4-b4cd-db5882bf8def,1993-11-04,2003-12-12,Regular,Regular,M,1939,NA
CAN,Paul Martin,CAN_2003_1,81dea9cb-1e42-11e4-b4cd-db5882bf8def,2003-12-12,2006-02-06,Regular,Regular,M,1938,NA
CAN,Harper,CAN_2006_1,824ff7fe-1e42-11e4-b4cd-db5882bf8def,2006-02-06,2015-11-04,Regular,Regular,M,1959,1959-04-30
CAN,Justin Trudeau,CAN_2015_1,43f5ae9c-de6a-11e5-ba44-bb6d7c1a9a58,2015-11-04,2024-06-30,Regular,Still in Office,M,1971,1971-12-25
CAO,Biya,CAO_1982_1,82304de9-1e42-11e4-b4cd-db5882bf8def,1982-11-06,2024-06-30,Regular,Still in Office,M,1933,1933-02-13
CAP,Pires,CAP_1975_1,82290e46-1e42-11e4-b4cd-db5882bf8def,1975-07-08,1991-04-04,Regular,Regular,M,1934,NA
CAP,Veiga,CAP_1991_1,82290e47-1e42-11e4-b4cd-db5882bf8def,1991-04-04,2000-07-29,Regular,Regular,M,1949,NA
CAP,Neves,CAP_2001_1,82293f1b-1e42-11e4-b4cd-db5882bf8def,2001-02-01,2016-04-22,Regular,Regular,M,1960,1960-03-28
CAP,Correia e Silva,CAP_2016_1,.,2016-04-22,2024-06-30,Regular,Still in Office,M,1962,1962-06-04
CDI,Houphouet-Boigny,CDI_1960_1,822d7168-1e42-11e4-b4cd-db5882bf8def,1960-08-07,1993-12-07,Regular,Natural Death,M,1905,1905-10-18
CDI,Konan Bedie,CDI_1993_1,822da23a-1e42-11e4-b4cd-db5882bf8def,1993-12-07,1999-12-25,Regular,Irregular,M,1934,NA
CDI,Guei,CDI_1999_1,822da23b-1e42-11e4-b4cd-db5882bf8def,1999-12-25,2000-10-25,Irregular,Irregular,M,1941,1941-03-16
CDI,Laurent Gbagbo,CDI_2000_1,822dd30e-1e42-11e4-b4cd-db5882bf8def,2000-10-26,2011-04-11,Irregular,Irregular,M,1945,1945-05-31
CDI,Ouattara,CDI_2011_1,825366fc-1e42-11e4-b4cd-db5882bf8def,2011-04-11,2024-06-30,Irregular,Still in Office,M,1942,1942-01-01
CEN,Kolingba,CEN_1981_1,82311138-1e42-11e4-b4cd-db5882bf8def,1981-09-01,1993-10-22,Irregular,Regular,M,1935,1935-08-12
CEN,Patasse,CEN_1993_1,82311139-1e42-11e4-b4cd-db5882bf8def,1993-10-22,2003-03-15,Regular,Irregular,M,1937,1937-01-25
